customer_id,first_name,last_name,email,city,country,gender,age,registration_date
1,Daniel,Figueroa,jeffreydoyle@example.net,New Roberttown,Bermuda,Male,19,2025-12-31
2,Jesse,Guzman,jennifermiles@example.com,South Bridget,Sudan,Female,33,2024-03-17
3,Katherine,Moore,jpeterson@example.org,Curtisfurt,Bhutan,Male,26,2023-04-23
4,Melanie,Munoz,blairamanda@example.com,New Kellystad,Morocco,Male,61,2024-10-21
5,Janet,Williams,kendragalloway@example.org,South Joshuastad,Central African Republic,Male,55,2024-02-05
6,Michael,Santiago,lynchgeorge@example.net,East Steven,Faroe Islands,Female,20,2024-11-08
7,Hailey,Robinson,megan03@example.org,Richardland,Croatia,Male,23,2026-01-01
8,Nancy,Edwards,pfoster@example.com,West Donald,Samoa,Male,32,2025-09-10
9,Amber,Burgess,zhurst@example.com,East William,Bermuda,Male,53,2025-09-01
10,Michelle,Hernandez,laurahenderson@example.org,Jamesmouth,Marshall Islands,Male,63,2023-06-25
11,Tasha,Valencia,frazierdanny@example.net,Kaylamouth,Bouvet Island (Bouvetoya),Female,32,2024-05-07
12,Ryan,Chavez,teresa28@example.org,Meaganhaven,New Caledonia,Female,55,2024-07-11
13,Eric,Farmer,georgetracy@example.org,Natashaport,Dominican Republic,Female,69,2024-02-15
14,John,Bradley,millertodd@example.org,East Donna,Yemen,Male,66,2023-07-11
15,Frederick,Rose,ibrandt@example.net,Lake Larry,Paraguay,Male,62,2025-08-14
16,Nathaniel,Lam,omartinez@example.org,Andrewside,Denmark,Female,39,2026-01-16
17,Jeffrey,Jones,perezrebecca@example.com,New Johnfort,Croatia,Female,27,2025-10-13
18,David,Walls,esanchez@example.com,North Collin,Jersey,Male,66,2025-07-28
19,Rodney,Owens,nuneztracey@example.org,South Jessicaville,Egypt,Female,24,2024-10-14
20,James,West,dwhite@example.org,South Lindseyside,Bolivia,Male,42,2024-02-04
21,Denise,Fernandez,novaksara@example.org,South Todd,Croatia,Male,40,2023-06-30
22,Rachel,Martin,gallowayjoseph@example.com,Rodneyside,Panama,Female,56,2024-12-25
23,Eric,Phillips,rileyamy@example.net,Brianshire,Lesotho,Female,69,2025-05-08
24,Samantha,Schmidt,yuchristopher@example.org,New Carlosbury,Iraq,Male,64,2025-06-02
25,Shelly,Hudson,harveyrobert@example.net,Sarahborough,Paraguay,Female,52,2023-10-16
26,John,Foster,stephen10@example.com,North Amandahaven,Estonia,Male,42,2024-08-13
27,Sarah,Ibarra,mikemoore@example.net,Cherylhaven,Algeria,Male,53,2023-11-04
28,Lisa,Evans,mcmillandennis@example.org,Lake Angelaview,Finland,Female,58,2026-02-13
29,Jason,Cooper,william40@example.org,Calderonton,Afghanistan,Female,54,2025-11-07
30,Kellie,Walsh,evan78@example.net,Hoffmanville,Belarus,Male,63,2024-09-12
31,Rebecca,Gardner,brandi26@example.org,West Michaelton,United Arab Emirates,Male,20,2026-03-21
32,Jason,Wright,gomezanita@example.com,East Michelle,South Georgia and the South Sandwich Islands,Male,67,2024-10-19
33,Nicole,Johnson,kimberly63@example.com,Port Jacqueline,Hong Kong,Female,23,2024-01-13
34,Michele,Walker,ybailey@example.org,North Donna,Iran,Male,24,2023-06-12
35,Joshua,Jones,michael86@example.net,Sheilaville,Turkey,Female,35,2024-09-03
36,Gregory,Estes,benjamin96@example.com,Samuelhaven,Brazil,Female,58,2024-05-22
37,Rachel,Lee,fletcheraaron@example.net,West Ryan,Yemen,Female,28,2024-12-01
38,Samantha,Hanson,cortezkevin@example.com,Nguyenport,Micronesia,Female,40,2026-02-07
39,James,Ortega,lbyrd@example.net,Richardtown,Gabon,Male,60,2023-10-27
40,Jason,Floyd,steven73@example.net,Leonburgh,Palestinian Territory,Female,62,2024-07-01
41,Justin,Beck,clarence34@example.org,East Andrew,Ecuador,Male,56,2023-08-22
42,Cheryl,Mack,operry@example.net,Lake Heather,Lithuania,Male,52,2025-04-20
43,John,Douglas,staffordmichelle@example.org,Robinsonhaven,Kyrgyz Republic,Male,28,2024-12-23
44,Angela,Lowery,bryantlaurie@example.net,Stephaniemouth,New Zealand,Female,42,2023-06-30
45,Ronald,Meadows,vmerritt@example.com,Greenbury,Tajikistan,Female,58,2025-06-05
